condition,sample
0Gy_0U,0Gy_0U_1
0Gy_0U,0Gy_0U_2
0Gy_100U,0Gy_100U_1
0Gy_100U,0Gy_100U_2
1Gy_0U,1Gy_0U_1
1Gy_0U,1Gy_0U_2
1Gy_100U,1Gy_100U_1
1Gy_100U,1Gy_100U_2
01Gy_0U,01Gy_0U_1
01Gy_0U,01Gy_0U_2
01Gy_0U,01Gy_100U_1
01Gy_0U,01Gy_100U_2
22C_0U,22C_0U_1
22C_0U,22C_0U_2
22C_100U,22C_100U_1
22C_100U,22C_100U_2
4C_0U,4C_0U_1
4C_0U,4C_0U_2
4C_100U,4C_100U_1
4C_100U,4C_100U_2
FANS_0p5U,FANS_0p5U_1
FANS_0p5U,FANS_0p5U_2
FANS_1p5U,FANS_1p5U_1
FANS_1p5U,FANS_1p5U_2
FANS_5U,FANS_5U_1
FANS_5U,FANS_5U_2
FANS_25U,FANS_25U_1
FANS_25U,FANS_25U_2
ATACseq_22C,ATACseq_22C_1
ATACseq_22C,ATACseq_22C_2
ATACseq_4C,ATACseq_4C_1
ATACseq_4C,ATACseq_4C_2
